,0
10,0
15,1
20,2
35,3
40,4
50,5
60,6
601,7
61,8
101,9
103,10
105,11
107,12
109,13
111,14
113,15
115,16
117,17
119,18
120,19
121,20
123,21
125,22
127,23
129,24
131,25
139,26
141,27
143,28
145,29
147,30
149,31
151,32
153,33
157,34
159,35
161,36
163,37
164,38
166,39
167,40
169,41
171,42
173,43
177,44
179,45
181,46
183,47
184,48
185,49
187,50
189,51
191,52
193,53
195,54
197,55
199,56
201,57
203,58
204,59
205,60
206,61
207,62
208,63
209,64
211,65
213,66
215,67
217,68
219,69
225,70
229,71
231,72
237,73
239,74
241,75
243,76
247,77
249,78
251,79
253,80
255,81
257,82
259,83
261,84
263,85
265,86
267,87
269,88
271,89
273,90
275,91
River,92
Lake,93
1,94
2,95
3,96
