,0
20,0
40,1
50,2
60,3
101,4
103,5
105,6
107,7
109,8
111,9
112,10
113,11
114,12
115,13
116,14
117,15
119,16
120,17
121,18
122,19
123,20
125,21
129,22
131,23
133,24
135,25
137,26
145,27
147,28
149,29
151,30
153,31
155,32
159,33
161,34
163,35
169,36
171,37
173,38
175,39
177,40
179,41
180,42
181,43
183,44
185,45
186,46
187,47
189,48
191,49
193,50
195,51
197,52
199,53
201,54
202,55
203,56
204,57
205,58
207,59
209,60
211,61
213,62
215,63
217,64
219,65
221,66
223,67
225,68
229,69
231,70
233,71
235,72
237,73
238,74
239,75
240,76
241,77
243,78
245,79
247,80
249,81
251,82
257,83
261,84
263,85
269,86
271,87
273,88
275,89
277,90
281,91
283,92
285,93
287,94
289,95
291,96
293,97
295,98
297,99
299,100
301,101
303,102
305,103
307,104
309,105
311,106
313,107
315,108
317,109
319,110
321,111
323,112
325,113
329,114
330,115
333,116
